Framework,Param_Clients,Param_Rounds,Param_Epochs,Param_Batch_Size,Param_Seed,Iteration,Start_Time,End_Time,Raw_Duration_s,Adjusted_Window_s,Detected_Client_Count,Server_CPU_Cores,Server_Memory_Bytes,Server_Net_Rx_Bps,Server_Net_Tx_Bps,Server_GPU_Util,Clients_Avg_CPU_Cores,Clients_Avg_Memory_Bytes,Clients_Avg_Net_Rx_Bps,Clients_Avg_Net_Tx_Bps,Clients_Avg_GPU_Util,Accuracies_Per_Round
flower,2,3,1,32,42,1,2026-05-25 04:49:29Z,2026-05-25 05:20:41Z,1872,1692,2,0.0206,807364746.95,212105.68,281200.65,0.0,1.993,1245724907.61,175724.83,141133.43,94.35,"{""Round 1"": 0.6989, ""Round 2"": 0.7935, ""Round 3"": 0.811}"
flower,2,3,1,32,69,2,2026-05-25 05:20:58Z,2026-05-25 05:52:13Z,1875,1695,2,0.0199,806138375.55,200296.8,246415.77,0.0,2.0049,1248240922.33,152811.4,129661.47,95.04,"{""Round 1"": 0.7439, ""Round 2"": 0.8135, ""Round 3"": 0.8266}"
flower,2,3,1,32,420,3,2026-05-25 05:52:28Z,2026-05-25 06:24:05Z,1897,1717,2,0.021,798420783.3,209032.06,277084.18,0.0,2.0089,1248659170.23,173218.73,139116.96,92.76,"{""Round 1"": 0.6715, ""Round 2"": 0.7845, ""Round 3"": 0.7988}"
flower,3,3,1,32,42,1,2026-05-25 06:24:22Z,2026-05-25 06:58:44Z,2062,1882,3,0.0205,823674455.15,244064.0,316723.51,0.0,1.6389,1253829976.96,140981.86,120202.16,94.52,"{""Round 1"": 0.4788, ""Round 2"": 0.7213, ""Round 3"": 0.8638}"
flower,3,3,1,32,69,2,2026-05-25 06:59:06Z,2026-05-25 07:33:25Z,2059,1879,3,0.0217,833434351.66,254787.15,348162.33,0.0,1.6391,1248565625.65,158499.54,127319.89,94.95,"{""Round 1"": 0.4752, ""Round 2"": 0.7047, ""Round 3"": 0.8415}"
flower,3,3,1,32,420,3,2026-05-25 07:33:50Z,2026-05-25 08:08:15Z,2065,1885,3,0.0206,827669963.03,253972.42,336739.33,0.0,1.6312,1244901582.43,157978.91,126892.32,97.5,"{""Round 1"": 0.4157, ""Round 2"": 0.6967, ""Round 3"": 0.8499}"
flower,5,3,1,32,42,1,2026-05-25 08:08:35Z,2026-05-25 08:43:29Z,2094,1914,5,0.0246,843822884.76,364502.64,516898.06,0.0,1.4466,1246038527.71,155548.22,124947.71,98.69,"{""Round 1"": 0.1938, ""Round 2"": 0.6176, ""Round 3"": 0.6631}"
flower,5,3,1,32,69,2,2026-05-25 08:43:46Z,2026-05-25 09:18:40Z,2094,1914,5,0.0254,840292614.21,364955.62,505144.83,0.0,1.4748,1247370668.98,149525.08,121408.01,98.68,"{""Round 1"": 0.1879, ""Round 2"": 0.6103, ""Round 3"": 0.6581}"
flower,5,3,1,32,420,3,2026-05-25 09:19:07Z,2026-05-25 09:54:08Z,2101,1921,5,0.0242,844962112.0,363496.87,495792.6,0.0,1.4437,1248748650.67,148903.67,120439.0,95.57,"{""Round 1"": 0.2059, ""Round 2"": 0.6179, ""Round 3"": 0.6761}"
flower,10,3,1,32,69,2,2026-05-25 12:13:54Z,2026-05-25 12:49:07Z,2113,1933,10,0.0366,926834485.42,680194.72,982052.33,0.0,1.3106,1222249739.95,154033.31,123711.17,95.61,"{""Round 1"": 0.0003, ""Round 2"": 0.0331, ""Round 3"": 0.1986}"
flower,10,3,1,32,420,3,2026-05-25 12:49:31Z,2026-05-25 13:24:47Z,2116,1936,10,0.0392,929237614.55,679367.1,982508.12,0.0,1.3113,1222730591.96,153754.61,123493.13,95.61,"{""Round 1"": 0.0001, ""Round 2"": 0.0376, ""Round 3"": 0.2013}"
flower,3,5,1,32,69,2,2026-05-26 03:19:48Z,2026-05-26 04:15:08Z,3320,3140,3,0.0223,885274095.69,253936.92,347008.34,0.0,1.6942,1249007837.76,157981.21,126902.65,97.03,"{""Round 1"": 0.4506, ""Round 2"": 0.6952, ""Round 3"": 0.8586, ""Round 4"": 0.8826, ""Round 5"": 0.8767}"
