Framework,Param_Clients,Param_Rounds,Param_Epochs,Param_Batch_Size,Param_Seed,Iteration,Start_Time,End_Time,Raw_Duration_s,Adjusted_Window_s,Detected_Client_Count,Server_CPU_Cores,Server_Memory_Bytes,Server_Net_Rx_Bps,Server_Net_Tx_Bps,Server_GPU_Util,Clients_Avg_CPU_Cores,Clients_Avg_Memory_Bytes,Clients_Avg_Net_Rx_Bps,Clients_Avg_Net_Tx_Bps,Clients_Avg_GPU_Util,Accuracies_Per_Round
fedbiomed,7,3,2,32,42,1,2026-06-01 21:28:52Z,2026-06-01 22:38:45Z,4193,4193,7,0.0055,1167227852.68,99005.72,131856.76,0.0,1.6921,1480448481.1,18839.68,14139.11,81.76,"{""Round 1"": 0.642857, ""Round 2"": 0.841837, ""Round 3"": 0.729592}"
fedbiomed,2,3,2,32,420,3,2026-06-02 00:32:26Z,2026-06-02 01:07:17Z,2091,2091,2,0.0035,921210409.65,56860.12,75613.32,0.0,4.0492,1556296645.21,37813.68,28424.94,77.8,"{""Round 1"": 0.840909, ""Round 2"": 0.909091, ""Round 3"": 0.931818}"
fedbiomed,7,3,2,32,69,2,2026-06-02 01:11:44Z,2026-06-02 02:08:48Z,3424,3424,7,0.0053,1171371205.61,121234.89,161463.13,0.0,1.718,1483473955.07,23065.56,17307.7,83.53,"{""Round 1"": 0.650067, ""Round 2"": 0.703904, ""Round 3"": 0.705013}"
fedbiomed,5,3,2,32,42,1,2026-06-02 02:11:29Z,2026-06-02 03:09:12Z,3462,3462,5,0.0052,1049330019.14,85667.94,114053.75,0.0,2.0245,1480330726.55,22822.41,17135.29,82.84,"{""Round 1"": 0.609684, ""Round 2"": 0.807845, ""Round 3"": 0.845805}"
fedbiomed,5,3,2,32,69,2,2026-06-02 03:11:42Z,2026-06-02 04:09:45Z,3482,3482,5,0.0045,1069060802.21,85149.39,113350.45,0.0,1.9963,1479987041.1,22676.37,17026.08,83.95,"{""Round 1"": 0.557576, ""Round 2"": 0.663636, ""Round 3"": 0.665909}"
fedbiomed,3,3,1,128,69,2,2026-06-02 04:11:29Z,2026-06-02 04:37:37Z,1567,1567,3,0.0043,944251338.02,113360.97,151090.11,0.0,3.0181,1478639842.83,50364.76,37780.22,78.0,"{""Round 1"": 0.271096, ""Round 2"": 0.45991, ""Round 3"": 0.472105}"
fedbiomed,3,3,2,64,42,1,2026-06-02 04:39:53Z,2026-06-02 05:27:17Z,2843,2843,3,0.0033,945234612.28,62555.46,83309.11,0.0,2.5765,1486735117.22,27773.39,20854.09,87.95,"{""Round 1"": 0.776896, ""Round 2"": 0.842041, ""Round 3"": 0.842262}"
fedbiomed,3,3,1,64,42,1,2026-06-02 05:29:00Z,2026-06-02 05:55:08Z,1567,1567,3,0.0037,951226577.38,113422.97,151135.64,0.0,3.0304,1491293302.87,50365.42,37797.17,77.27,"{""Round 1"": 0.684799, ""Round 2"": 0.874559, ""Round 3"": 0.861387}"
fedbiomed,3,7,2,64,69,2,2026-06-02 05:56:48Z,2026-06-02 07:44:56Z,6487,6487,3,0.0033,1282112917.02,63914.62,72981.85,0.0,2.4819,1618390004.16,24328.5,21305.69,89.32,"{""Round 1"": 0.228608, ""Round 2"": 0.780971, ""Round 3"": 0.454662, ""Round 4"": 0.44189, ""Round 5"": 0.422094, ""Round 6"": 0.440613, ""Round 7"": 0.433589}"
fedbiomed,3,7,2,64,420,3,2026-06-02 07:46:41Z,2026-06-02 09:35:19Z,6517,6517,3,0.0035,1259686400.0,63607.02,72629.74,0.0,2.4981,1588813959.07,24210.75,21202.8,89.52,"{""Round 1"": 0.634738, ""Round 2"": 0.777778, ""Round 3"": 0.796296, ""Round 4"": 0.759259, ""Round 5"": 0.759259, ""Round 6"": 0.759259, ""Round 7"": 0.759259}"
fedbiomed,3,3,2,64,420,3,2026-06-02 09:37:00Z,2026-06-02 10:24:24Z,2843,2843,3,0.003,930379689.46,62588.06,83351.4,0.0,2.5562,1506783905.05,27777.35,20857.48,87.1,"{""Round 1"": 0.623244, ""Round 2"": 0.759259, ""Round 3"": 0.796296}"
fedbiomed,3,3,2,64,69,2,2026-06-02 10:26:12Z,2026-06-02 11:13:46Z,2853,2853,3,0.0033,911006781.08,62361.6,83051.73,0.0,2.588,1497388423.64,27690.49,20791.67,88.7,"{""Round 1"": 0.234355, ""Round 2"": 0.40613, ""Round 3"": 0.434866}"
nvidiaFlare,3,3,2,64,69,2,2026-06-02 21:51:15Z,2026-06-02 22:45:50Z,3274,3274,3,0.0059,281638527.41,67711.67,55113.96,0.0,1.7093,1293528462.66,18282.02,22501.27,95.34,"{""Round 1"": 0.5853, ""Round 2"": 0.7286, ""Round 3"": 0.7854}"
flower,3,5,2,64,420,3,2026-06-02 22:46:24Z,2026-06-03 00:22:37Z,5773,5593,3,0.0208,863210297.42,143004.61,195169.71,0.0,1.7518,1220938502.18,88871.03,71442.96,94.75,"{""Round 1"": 0.3769, ""Round 2"": 0.657, ""Round 3"": 0.7907, ""Round 4"": 0.8418, ""Round 5"": 0.8648}"
